CellType,CpdName,IC50,Concentration1,Concentration2,Concentration3,Concentration4,Concentration5,Concentration6,Concentration7,Concentration8,Concentration9
Leukemia,WYZ-XM-5,-2.232969,0.0437,0.0447,0.0471,0.0643,0.4002,0.6223,0.8015,1.1777,0.9628
Leukemia,WYZ-XM-5,-3.396554,0.0586,0.0584,0.0598,0.0583,0.0605,0.0589,0.8552,1.1655,1.2513
Leukemia,WYZ-XM-5,-2.553588,0.0665,0.0677,0.0684,0.0665,0.0698,0.556,1.088,0.9982,1.0162
Lymphoma,WYZ-XM-5,-3.659804,0.0727,0.0745,0.0744,0.0763,0.0754,0.0752,0.7655,1.216,1.2856
Leukemia,WYZ-XM-5,-5.996481,0.0882,0.086,0.0888,0.0887,0.09,0.0907,0.0904,0.1455,0.6177
Leukemia,WYZ-XM-5,-3.506638,0.0468,0.0467,0.0468,0.0494,0.0468,0.0879,1.0254,1.0552,1.0426
Leukemia,WYZ-XM-5,-5.128319,0.1011,0.1045,0.1042,0.1001,0.1146,0.101,0.1013,0.8346,1.1057
UrinaryTrack,WYZ-XM-5,-2.077862,0.049,0.0533,0.0506,0.052,0.0516,0.7348,1.0558,1.1322,1.1267
Lymphoma,WYZ-XM-5,-3.14549,0.0547,0.0567,0.0565,0.059,0.0586,0.0597,1.1139,0.986,1.0934
Leukemia,WYZ-XM-5,-4.364843,0.0623,0.0635,0.0629,0.0632,0.0709,0.0635,0.1556,0.5383,1.1522
Leukemia,WYZ-XM-5,-1.022896,0.0558,0.0502,0.0519,0.0518,0.9736,1.1317,0.9849,1.1717,1.2184
Leukemia,WYZ-XM-5,-2.712407,0.044,0.0467,0.0467,0.0471,0.0462,0.0484,0.794,1.0363,1.0694
Leukemia,WYZ-XM-5,-2.71914,0.0332,0.0321,0.034,0.0329,0.0348,0.0384,0.9562,1.0531,1.0538
Leukemia,WYZ-XM-5,-3.375392,0.0715,0.071,0.0752,0.0725,0.074,0.0716,0.4411,0.9376,1.1215
Leukemia,WYZ-XM-5,-3.669368,0.0687,0.0687,0.0765,0.0687,0.0866,0.1423,0.6323,1.1747,0.9998
Leukemia,WYZ-XM-5,-4.71362,0.0874,0.09,0.09,0.0849,0.0851,0.0829,1.0469,0.3286,0.5202
Lymphoma,WYZ-XM-5,-1.391461,0.0419,0.0944,0.046,0.2159,0.718,0.8987,1.0608,1.037,1.008
Leukemia,WYZ-XM-5,-2.833909,0.0987,0.0976,0.0965,0.0954,0.1005,0.1069,0.8122,1.0456,1.1062
Leukemia,WYZ-XM-5,-2.710929,0.0604,0.0618,0.0607,0.0623,0.0614,0.0626,0.8727,1.0808,1.0683
Leukemia,WYZ-XM-5,-9.506961,0.2141,0.216,0.227,0.2151,0.2244,0.2294,0.2263,0.2237,0.6078
Leukemia,WYZ-XM-5,-3.13817,0.0863,0.089,0.0901,0.0876,0.0875,0.2618,0.9947,0.9958,1.0039
Lymphoma,WYZ-XM-5,-2.541186,0.078,0.0787,0.0765,0.0787,0.0846,1.2246,1.1044,1.151,1.1613
Lymphoma,WYZ-XM-5,-4.314551,0.0479,0.0477,0.05,0.0471,0.0487,0.0488,1.0105,0.3398,1.0522
Lymphoma,WYZ-XM-5,-7.222122,0.0848,0.0854,0.0869,0.0863,0.0901,0.0909,0.0923,0.106,0.9729
Lymphoma,WYZ-XM-5,-2.416488,0.0493,0.052,0.0504,0.0489,0.0507,0.0518,0.9906,0.9999,1.008
Lymphoma,WYZ-XM-5,-5.964792,0.0756,0.0775,0.0779,0.0781,0.0796,0.0798,0.9488,0.1265,1.0676
UrinaryTrack,WYZ-XM-5,3.094265,0.0371,0.041,0.0811,0.9462,1.051,1.0802,1.0527,1.0303,1.0064
UrinaryTrack,WYZ-XM-5,-2.05744,0.0899,0.0909,0.0935,0.0967,0.651,0.7326,0.9254,1.0174,1.1383
Lymphoma,WYZ-XM-5,-7.596169,0.1606,0.1622,0.1636,0.1667,0.1686,0.178,0.1687,0.1675,0.251
Lymphoma,WYZ-XM-5,-3.638771,0.0687,0.0716,0.0748,0.0726,0.0751,0.0788,1.078,1.1173,1.0427
Lymphoma,WYZ-XM-5,-3.286448,0.0541,0.053,0.0536,0.0541,0.0538,0.0537,1.087,1.0213,1.2005
Lymphoma,WYZ-XM-5,-2.967435,0.0599,0.0594,0.061,0.0605,0.0618,0.0701,0.941,0.9687,1.0192
Lymphoma,WYZ-XM-5,-1.836942,0.0615,0.0661,0.08,0.0776,0.1331,0.759,0.8385,0.9909,1.0188
Leukemia,WYZ-XM-5,-1.861721,0.0439,0.0431,0.0449,0.046,0.5275,0.8264,0.8795,1.0303,1.0449
Leukemia,WYZ-XM-5,-3.003798,0.0495,0.05,0.0503,0.0502,0.0514,0.0535,0.6915,0.8808,1.1155
Lymphoma,WYZ-XM-5,-4.013506,0.0585,0.0575,0.0569,0.054,0.0624,0.0567,0.2242,0.994,1.0395
Lymphoma,WYZ-XM-5,-2.536066,0.0689,0.068,0.0758,0.0712,0.0736,0.5394,1.0095,1.0927,0.9525
Lymphoma,WYZ-XM-5,-0.092754,0.0521,0.0543,0.0542,0.7223,0.7817,0.8515,0.918,1.0207,0.9834
Lymphoma,WYZ-XM-5,-3.053352,0.0551,0.0549,0.0565,0.0574,0.0562,0.0642,0.6068,1.0231,1.0094
Lymphoma,WYZ-XM-5,-2.775274,0.0556,0.0558,0.0666,0.0578,0.0577,0.0594,0.785,0.9047,0.9119
Leukemia,WYZ-XM-5,-2.834481,0.047,0.043,0.0449,0.0436,0.0489,0.3159,0.9209,0.9489,0.9706
Lymphoma,WYZ-XM-5,-5.4134,0.0723,0.0682,0.0734,0.0681,0.0683,0.0681,0.079,0.6178,0.9685
Leukemia,WYZ-XM-5,-2.506124,0.0559,0.0572,0.0581,0.1099,0.1076,0.488,0.9714,1.0844,1.1323
Leukemia,WYZ-XM-5,-3.48243,0.08,0.084,0.0904,0.0889,0.0906,0.0844,0.4106,0.8286,1.1567
Lymphoma,WYZ-XM-5,-2.377365,0.0588,0.0603,0.0615,0.0604,0.0622,0.6199,1.0571,1.0857,1.0874
Lymphoma,WYZ-XM-5,-4.053609,0.0586,0.0632,0.0616,0.0594,0.0596,0.0973,1.1584,1.1609,1.1625
Leukemia,WYZ-XM-5,-2.614741,0.0572,0.0594,0.0587,0.0593,0.0702,0.4502,0.9582,0.986,1.0791
Leukemia,WYZ-XM-5,-3.134787,0.0858,0.0858,0.0856,0.086,0.0879,0.0867,0.6053,0.9485,1.1026
Leukemia,WYZ-XM-5,-1.96558,0.0598,0.0605,0.0624,0.0664,0.4483,1.0163,1.0255,0.989,0.9775
Leukemia,WYZ-XM-5,-2.856482,0.0732,0.0777,0.0767,0.0765,0.0832,0.3105,0.8225,1.0565,1.0098
Leukemia,WYZ-XM-5,-2.484946,0.1688,0.187,0.1816,0.9416,0.2068,0.3698,0.9496,1.0829,0.9072
Leukemia,WYZ-XM-5,-2.041366,0.045,0.0462,0.0517,0.1556,0.7469,0.9883,0.8637,1.0909,1.0708
Leukemia,WYZ-XM-5,-3.738178,0.0926,0.0907,0.0929,0.0896,0.0918,0.0902,0.3635,0.599,0.8062
Lymphoma,WYZ-XM-5,-2.393461,0.0613,0.0619,0.0629,0.0625,0.0648,0.6437,1.0978,0.9668,1.1013
Leukemia,WYZ-XM-5,-3.251568,0.0504,0.0505,0.0509,0.0515,0.0518,0.0522,0.9894,0.8739,1.0889
Lymphoma,WYZ-XM-5,-5.049776,0.0595,0.0635,0.061,0.0595,0.0677,0.061,0.0752,1.0556,1.1253
Leukemia,WYZ-XM-5,-3.423554,0.0755,0.0809,0.0783,0.0785,0.081,0.1446,0.5656,0.7615,1.0357
UrinaryTrack,WYZ-XM-5,-2.150027,0.1137,0.1042,0.1028,0.1008,0.1015,0.6851,1.1406,1.064,1.1269
Bone,WYZ-XM-5,-2.950618,0.1155,0.1083,0.114,0.107,0.1159,0.115,0.6596,0.9118,1.0661
Bone,WYZ-XM-5,-5.305149,0.0641,0.0621,0.0626,0.062,0.0646,0.0637,0.0856,0.8001,0.9597
Bone,WYZ-XM-5,-3.023002,0.1002,0.0961,0.1025,0.0978,0.1009,0.0974,0.6277,0.9743,1.0091
Bone,WYZ-XM-5,-2.364464,0.0593,0.0611,0.0628,0.0602,0.0619,0.5842,0.9919,0.991,1.0448
Bone,WYZ-XM-5,-3.768683,0.1036,0.0976,0.0975,0.098,0.0957,0.0979,0.9735,1.1857,1.1566
Bone,WYZ-XM-5,-3.63383,0.0929,0.0829,0.0895,0.0844,0.0836,0.0865,0.3565,1.0107,0.9956
Bone,WYZ-XM-5,-1.763721,0.0467,0.0483,0.047,0.0485,0.5401,0.931,0.9995,1.0074,1.0216
Bone,WYZ-XM-5,-2.397005,0.1447,0.147,0.1438,0.1447,0.1583,0.6544,0.9426,1.0023,1.2354
Leukemia,WYZ-XM-5,-3.067911,0.0703,0.0712,0.0712,0.071,0.0723,0.0708,0.7572,1.126,1.0572
Bone,WYZ-XM-5,-4.252704,0.1979,0.2011,0.2018,0.1993,0.206,0.1933,0.2034,0.508,0.693
Bone,WYZ-XM-5,-5.200092,0.054,0.0568,0.0555,0.0544,0.0558,0.053,0.0581,0.4064,0.5829
Bone,WYZ-XM-5,-4.623068,0.087,0.082,0.0832,0.0828,0.0834,0.0861,0.1691,1.058,1.0642
Bone,WYZ-XM-5,-3.743808,0.0793,0.0786,0.0817,0.0802,0.0829,0.086,1.0675,1.1334,1.1377
Bone,WYZ-XM-5,-5.722639,0.1116,0.124,0.1158,0.1252,0.1166,0.1129,0.1624,0.5629,0.9856
Bone,WYZ-XM-5,-6.873782,0.1117,0.1106,0.1115,0.1082,0.1109,0.1133,0.1164,0.6813,0.7626
Brain,WYZ-XM-5,-3.168114,0.1033,0.1029,0.106,0.1045,0.1018,0.1937,0.9212,1.0424,1.0146
Brain,WYZ-XM-5,-1.806245,0.0624,0.0587,0.059,0.0565,0.06,0.8951,1.0643,1.0864,1.1223
Brain,WYZ-XM-5,-2.587273,0.0569,0.0576,0.0659,0.0568,0.0597,0.4861,0.8226,1.0037,1.1351
Brain,WYZ-XM-5,-3.435426,0.0728,0.0751,0.0748,0.0742,0.0783,0.0873,0.8932,1.091,1.0743
Brain,WYZ-XM-5,-6.348776,0.1065,0.1052,0.1028,0.1026,0.1131,0.105,0.1323,0.6262,1.0492
Brain,WYZ-XM-5,-3.614953,0.058,0.0549,0.0556,0.0582,0.0586,0.0899,0.9678,1.0173,1.0301
Brain,WYZ-XM-5,-1.959186,0.054,0.0539,0.0526,0.0531,0.138,0.9111,0.9821,1.021,1.0345
Brain,WYZ-XM-5,-0.001415,0.05,0.0533,0.0517,0.0517,0.9551,1.0016,0.9895,0.9867,0.9935
Brain,WYZ-XM-5,-1.214443,0.0563,0.0589,0.0534,0.0802,0.7999,0.9673,1.0034,1.0309,1.0113
Leukemia,WYZ-XM-5,-3.2639,0.062,0.0628,0.0625,0.0632,0.0654,0.0682,0.9205,1.1122,1.0492
Brain,WYZ-XM-5,-2.478097,0.054,0.055,0.0553,0.0547,0.0572,0.5559,1.1098,1.1188,1.1179
Brain,WYZ-XM-5,-2.781842,0.0594,0.0641,0.0597,0.0581,0.06,0.369,0.8243,1.1205,1.1647
Brain,WYZ-XM-5,-3.062721,0.06,0.0581,0.0587,0.0598,0.0594,0.0634,0.6834,0.8955,0.9213
Brain,WYZ-XM-5,-2.029792,0.0609,0.0622,0.0647,0.0629,0.0771,0.8019,1.0405,1.1484,1.0854
Brain,WYZ-XM-5,-2.993846,0.0469,0.0485,0.0484,0.0482,0.0699,0.976,1.0962,1.1184,1.2296
Brain,WYZ-XM-5,-2.041727,0.0634,0.061,0.0631,0.0619,0.3831,0.8596,1.0733,1.0562,1.1449
Brain,WYZ-XM-5,-1.93498,0.053,0.054,0.0527,0.056,0.0592,0.8286,1.0451,1.0435,1.0481
Brain,WYZ-XM-5,-2.886715,0.0586,0.0564,0.0572,0.0563,0.0559,0.2855,0.8152,1.1424,1.0985
Brain,WYZ-XM-5,-4.783006,0.1797,0.19,0.1836,0.1889,0.1942,0.1901,0.5405,1.1245,1.0871
Brain,WYZ-XM-5,-2.33329,0.0705,0.0662,0.0661,0.0658,0.0672,0.0682,0.8801,0.99,1.0407
Leukemia,WYZ-XM-5,-3.367541,0.0828,0.0885,0.0896,0.0846,0.0859,0.0835,0.4795,0.7467,1.1311
Nervous System,WYZ-XM-5,-1.740233,0.0475,0.0494,0.0491,0.0523,0.1524,0.854,0.8931,0.9149,1.0023
Nervous System,WYZ-XM-5,-4.064064,0.0577,0.0584,0.0583,0.0633,0.0596,0.079,1.071,1.164,1.129
Nervous System,WYZ-XM-5,-1.788556,0.04,0.0422,0.0428,0.0432,0.0644,0.8191,0.9217,0.9705,1.0153
Nervous System,WYZ-XM-5,-2.455523,0.0652,0.0773,0.0697,0.0706,0.0786,0.5819,0.9308,1.146,1.1086
Nervous System,WYZ-XM-5,-8.893326,0.076,0.0781,0.0791,0.0764,0.0805,0.0771,0.0802,0.2786,0.864
Nervous System,WYZ-XM-5,-4.107416,0.1358,0.1421,0.1417,0.1431,0.157,0.1746,0.3271,0.4863,0.8037
Nervous System,WYZ-XM-5,-3.19062,0.0729,0.0748,0.0757,0.0744,0.0751,0.0764,0.91,1.1198,1.1258
Nervous System,WYZ-XM-5,-3.397717,0.1372,0.1383,0.1403,0.1487,0.1394,0.1422,0.1719,0.7335,0.8922
Brain,WYZ-XM-5,-4.054444,0.0574,0.0645,0.0612,0.0591,0.0591,0.0585,0.431,0.425,1.0253
Brain,WYZ-XM-5,-1.320535,0.0619,0.0634,0.0636,0.0666,0.1187,1.0036,1.0781,1.0646,1.0629
Brain,WYZ-XM-5,-3.978645,0.0855,0.0867,0.0956,0.0879,0.0881,0.0879,1.1636,1.1151,1.1459
Brain,WYZ-XM-5,-3.321535,0.0697,0.067,0.0644,0.0672,0.0649,0.0698,0.8788,1.1533,1.2118
Leukemia,WYZ-XM-5,-4.432414,0.0905,0.0929,0.0946,0.0934,0.0953,0.1196,0.7697,1.179,1.1146
Brain,WYZ-XM-5,-2.91299,0.0748,0.0753,0.0749,0.0739,0.0828,0.0803,0.9534,1.0523,1.0393
Nervous System,WYZ-XM-5,-3.682998,0.0617,0.0624,0.0618,0.0602,0.0583,0.0591,0.3013,0.7684,0.8527
Nervous System,WYZ-XM-5,-3.76137,0.0813,0.0846,0.0831,0.082,0.0832,0.0808,0.2577,0.6677,1.0173
Brain,WYZ-XM-5,-4.390101,0.0637,0.0583,0.0594,0.0591,0.0657,0.0966,1.1085,1.1178,1.1402
Nervous System,WYZ-XM-5,-3.78266,0.12,0.1165,0.1209,0.1149,0.1139,0.1571,0.8789,0.9985,1.2456
Nervous System,WYZ-XM-5,-3.825986,0.0973,0.0955,0.0941,0.0939,0.0931,0.1297,1.2425,0.7881,1.1542
Brain,WYZ-XM-5,-3.257404,0.0831,0.0849,0.0826,0.0808,0.1072,1.0312,0.5168,0.8115,0.9137
Brain,WYZ-XM-5,-1.649812,0.0564,0.0573,0.0566,0.0577,0.0719,0.9279,1.0542,1.0536,1.0977
Nervous System,WYZ-XM-5,1.608591,1.3763,1.3596,0.054,0.055,0.0571,0.6718,0.9263,0.8901,0.9637
Brain,WYZ-XM-5,-3.20649,0.0695,0.0698,0.0709,0.0705,0.0701,0.0799,0.5565,0.8347,1.1405
Nervous System,WYZ-XM-5,-1.778569,0.037,0.0369,0.0558,0.1848,0.6303,0.8281,1.0647,1.0211,1.0047
Breast,WYZ-XM-5,-3.257656,0.123,0.1245,0.1248,0.1194,0.126,0.137,0.5987,0.9268,0.9037
Breast,WYZ-XM-5,-2.474307,0.0649,0.0648,0.0714,0.0882,0.2739,0.5673,0.7985,0.9077,0.9497
Breast,WYZ-XM-5,-2.762157,0.0629,0.0633,0.0637,0.0663,0.1381,1.0826,1.1375,1.1297,1.1209
Breast,WYZ-XM-5,-2.760153,0.0573,0.0552,0.0544,0.0566,0.0617,0.3898,0.8216,0.9116,1.0112
Breast,WYZ-XM-5,-3.576743,0.0686,0.0742,0.0692,0.0702,0.0661,0.0684,0.4292,0.6327,0.8426
Breast,WYZ-XM-5,-2.86625,0.0722,0.0737,0.074,0.0732,0.1614,0.5304,0.7332,0.8075,0.8432
Breast,WYZ-XM-5,-4.103396,0.0463,0.0463,0.0468,0.0454,0.0467,0.0508,0.6262,1.2064,1.1765
Breast,WYZ-XM-5,-2.339224,0.0543,0.0555,0.056,0.0564,0.0595,0.6505,0.986,1.1273,1.1937
Breast,WYZ-XM-5,-6.008913,0.1414,0.1499,0.1508,0.1454,0.1466,0.145,0.1834,1.1063,1.0772
Breast,WYZ-XM-5,-2.94569,0.0506,0.0525,0.0509,0.0518,0.054,0.2219,0.936,1.0771,1.1126
Leukemia,WYZ-XM-5,-1.954384,0.0675,0.0729,0.1116,0.1059,0.4593,0.8321,0.9456,1.1212,1.1513
Breast,WYZ-XM-5,-2.789527,0.1009,0.1049,0.1078,0.1069,0.2296,0.6133,0.7181,0.7706,1.0028
Breast,WYZ-XM-5,-3.147839,0.0943,0.0949,0.1107,0.0999,0.1007,0.7608,0.6969,1.119,0.792
Breast,WYZ-XM-5,-3.377678,0.0664,0.0667,0.0684,0.0679,0.0708,0.1341,0.4514,1.0142,0.9952
Breast,WYZ-XM-5,-3.020921,0.0874,0.0863,0.0886,0.0971,0.1332,0.3315,0.6676,0.8199,0.9519
Breast,WYZ-XM-5,-3.413428,0.0554,0.0559,0.058,0.0586,0.0623,0.3681,0.4796,0.6605,0.7769
Breast,WYZ-XM-5,-2.292846,0.1987,0.2037,0.2091,0.2055,0.2036,0.6685,0.8239,0.887,0.9797
Breast,WYZ-XM-5,-4.082747,0.0514,0.0531,0.0533,0.0534,0.0542,0.0872,0.7674,1.0338,1.0965
Breast,WYZ-XM-5,-8.440899,0.1208,0.1208,0.1233,0.1265,0.1212,0.1227,0.1231,0.1237,1.1774
Breast,WYZ-XM-5,-6.00407,0.0695,0.0701,0.0746,0.0693,0.0709,0.0691,0.074,0.5364,0.6586
Breast,WYZ-XM-5,-3.509726,0.1117,0.1135,0.1142,0.1189,0.1153,0.1178,0.49,0.6599,0.8022
Breast,WYZ-XM-5,-2.323078,0.0941,0.0945,0.0956,0.0959,0.1206,0.6512,1.0249,1.0153,1.0171
Breast,WYZ-XM-5,-1.836413,0.0698,0.073,0.1335,0.0709,0.0744,0.0807,0.9151,1.1335,1.0111
Breast,WYZ-XM-5,-2.732282,0.0644,0.0662,0.0666,0.074,0.1114,0.4313,0.9816,1.0162,1.0093
Breast,WYZ-XM-5,-2.572,0.0462,0.0476,0.0473,0.0465,0.0479,0.4661,1.0462,1.167,1.1665
Breast,WYZ-XM-5,-3.565405,0.0529,0.0513,0.0511,0.0527,0.0517,0.1949,0.5966,0.5796,1.0513
Breast,WYZ-XM-5,-2.552729,0.0627,0.063,0.0647,0.0642,0.0656,0.4988,0.9241,1.0076,1.0897
Breast,WYZ-XM-5,-4.346762,0.0753,0.0829,0.0792,0.078,0.1037,0.119,0.2179,0.415,0.8603
Breast,WYZ-XM-5,-2.928161,0.0642,0.0642,0.0649,0.0639,0.0654,0.0719,0.8742,0.9464,0.9732
Breast,WYZ-XM-5,-3.685374,0.0786,0.0809,0.083,0.0781,0.0834,0.0839,0.3476,1.2296,0.9725
Breast,WYZ-XM-5,-2.292518,0.0638,0.0638,0.076,0.0648,0.0653,0.0831,1.0598,1.0723,1.1149
Breast,WYZ-XM-5,-3.774842,0.1562,0.1544,0.1554,0.1558,0.1905,0.1877,0.4065,0.5924,0.9129
Breast,WYZ-XM-5,-5.473694,0.0765,0.0746,0.0781,0.0762,0.0782,0.0757,0.0819,0.3616,0.7713
Breast,WYZ-XM-5,-2.688194,0.0627,0.0627,0.0627,0.0617,0.064,0.4147,0.9578,0.9865,0.9658
Breast,WYZ-XM-5,-1.541623,0.051,0.0527,0.0536,0.0594,0.6968,0.9862,1.067,1.0797,1.0306
Breast,WYZ-XM-5,-2.098617,0.1216,0.1211,0.1245,0.1409,0.8955,0.8186,1.0104,0.8948,1.4679
Breast,WYZ-XM-5,-1.728512,0.0643,0.0662,0.0681,0.1639,0.6894,0.897,0.9774,1.0494,1.035
Breast,WYZ-XM-5,-2.776467,0.0841,0.0848,0.0834,0.0832,0.1891,0.3676,0.8905,0.9975,1.0737
Breast,WYZ-XM-5,-1.97299,0.0519,0.0531,0.0628,0.057,0.4326,0.8581,1.1093,1.1904,1.1286
Breast,WYZ-XM-5,-3.627713,0.1029,0.1049,0.1083,0.1043,0.1084,0.2096,0.6523,1.4775,1.3979
Leukemia,WYZ-XM-5,-3.055507,0.068,0.0692,0.0692,0.0669,0.0698,0.0665,0.9437,1.0654,1.0752
Breast,WYZ-XM-5,-3.62304,0.0451,0.0534,0.0491,0.0468,0.048,0.1188,0.3205,1.1418,1.0718
Breast,WYZ-XM-5,-3.454115,0.0928,0.096,0.099,0.0987,0.1229,0.2794,0.4638,0.6699,0.8651
Breast,WYZ-XM-5,-2.728477,0.0988,0.0955,0.0972,0.1038,0.1129,0.4101,0.9214,1.0336,1.1605
Breast,WYZ-XM-5,-2.364478,0.0718,0.0736,0.0764,0.0772,0.2979,0.7533,0.8862,0.853,0.9104
Breast,WYZ-XM-5,-2.549446,0.0446,0.0449,0.046,0.0504,0.1414,0.9261,1.0711,1.0648,1.0842
Breast,WYZ-XM-5,-3.150893,0.1021,0.1033,0.104,0.1033,0.1029,0.1875,0.9059,1.0209,1.0242
Breast,WYZ-XM-5,-2.95695,0.055,0.0566,0.0582,0.0583,0.0584,0.3079,0.666,0.9489,1.1122
Breast,WYZ-XM-5,-3.298515,0.1282,0.1291,0.1289,0.1258,0.131,0.2915,0.5182,0.8528,1.0256
Breast,WYZ-XM-5,-1.168501,0.0502,0.0506,0.0665,0.5304,0.8516,0.9302,1.1704,1.1703,1.1414
Cervix,WYZ-XM-5,-2.644551,0.0487,0.0501,0.0494,0.0492,0.0507,0.0489,0.7671,0.9662,0.968
Cervix,WYZ-XM-5,-2.579645,0.0416,0.0414,0.0416,0.0428,0.0425,0.043,0.9576,0.9628,0.9843
Cervix,WYZ-XM-5,-1.850102,0.0401,0.0405,0.0389,0.0408,0.041,0.8265,0.936,0.9249,0.9412
Cervix,WYZ-XM-5,-2.159521,0.0549,0.0558,0.0567,0.057,0.0589,0.7048,0.9289,0.9689,1.0044
Cervix,WYZ-XM-5,-2.709341,0.0742,0.0765,0.0772,0.0786,0.0789,0.077,0.8811,0.926,0.9935
Cervix,WYZ-XM-5,-3.599467,0.0691,0.0707,0.0701,0.0711,0.0718,0.0701,1.127,1.026,1.1427
Cervix,WYZ-XM-5,-3.180007,0.0489,0.0507,0.0516,0.051,0.0533,0.0563,1.5295,1.0839,1.0947
Cervix,WYZ-XM-5,-3.068232,0.0541,0.0558,0.0549,0.0561,0.057,0.2586,1.0366,1.1307,1.2013
Cervix,WYZ-XM-5,-4.150019,0.0534,0.0654,0.057,0.0586,0.0561,0.0546,0.4839,0.4139,0.7482
Cervix,WYZ-XM-5,-3.983562,0.0633,0.0629,0.0653,0.0654,0.0659,0.0798,0.3288,0.4825,0.7535
Cervix,WYZ-XM-5,-7.681392,0.1616,0.1681,0.1632,0.1683,0.1814,0.1733,0.1751,0.6284,0.9834
Vulva,WYZ-XM-5,-3.44555,0.0509,0.0542,0.0538,0.0548,0.0544,0.0564,1.1225,1.1004,1.1274
Cervix,WYZ-XM-5,-2.32267,0.046,0.0459,0.0501,0.0522,0.253,0.8161,0.8583,0.9025,0.9452
Cervix,WYZ-XM-5,-2.428955,0.049,0.0494,0.0519,0.0493,0.0532,0.8272,0.8533,0.9881,1.0231
Cervix,WYZ-XM-5,-2.833526,0.0538,0.053,0.0552,0.0587,0.059,0.3196,0.8416,0.9375,1.1135
Cervix,WYZ-XM-5,-5.743975,0.1007,0.0941,0.0933,0.1077,0.098,0.097,0.095,0.5232,0.6273
Cervix,WYZ-XM-5,-0.799903,0.0383,0.0403,0.0403,0.0465,0.9096,0.9207,0.9528,0.9459,0.9726
Cervix,WYZ-XM-5,-2.629712,0.0561,0.0571,0.0578,0.0582,0.0582,0.0877,0.7816,0.8726,0.9055
Cervix,WYZ-XM-5,-3.685063,0.0768,0.0787,0.0775,0.0775,0.0773,0.0768,0.3023,0.6563,1.0318
Esophagus,WYZ-XM-5,-4.326121,0.0852,0.0838,0.0885,0.086,0.0876,0.0853,0.2522,0.887,1.117
Esophagus,WYZ-XM-5,-2.734073,0.0399,0.0412,0.0414,0.0417,0.0422,0.45,0.7072,0.8442,1.0449
Esophagus,WYZ-XM-5,-3.469998,0.0613,0.0657,0.0663,0.0646,0.0663,0.1283,0.4321,0.6879,0.9803
Esophagus,WYZ-XM-5,-2.36053,0.037,0.038,0.0383,0.0383,0.2213,0.8329,0.9546,0.9694,1.0382
Esophagus,WYZ-XM-5,-2.800936,0.0404,0.0417,0.0416,0.0426,0.0435,0.3556,0.7403,1.051,1.0634
Esophagus,WYZ-XM-5,-2.321781,0.0565,0.054,0.0583,0.0545,0.0598,0.6471,0.85,0.9553,1.0827
Esophagus,WYZ-XM-5,-2.916808,0.0431,0.0451,0.0457,0.0446,0.0461,0.3421,0.6448,0.9134,1.0529
Esophagus,WYZ-XM-5,-3.370132,0.0502,0.0507,0.0507,0.051,0.0527,0.0603,0.6789,0.9166,1.14
Esophagus,WYZ-XM-5,-2.828748,0.043,0.0441,0.0456,0.0444,0.0465,0.2886,0.8457,0.9462,1.0224
Esophagus,WYZ-XM-5,-4.433519,0.049,0.0504,0.0505,0.0524,0.053,0.076,0.5276,1.022,1.1849
Esophagus,WYZ-XM-5,-4.964625,0.0522,0.0517,0.0536,0.0535,0.0545,0.0652,0.1859,0.6985,1.0096
Esophagus,WYZ-XM-5,-1.682386,0.0414,0.0421,0.0422,0.0459,0.2473,0.8651,1.0158,1.0135,1.041
Esophagus,WYZ-XM-5,-1.739732,0.0539,0.0551,0.0571,0.0725,0.5706,0.906,1.0967,1.1311,1.1783
Esophagus,WYZ-XM-5,-2.0486,0.0343,0.035,0.0372,0.0548,0.3932,0.7962,0.8875,0.9718,1.0229
Esophagus,WYZ-XM-5,-2.604267,0.0507,0.053,0.0525,0.0525,0.0605,0.4634,0.9869,1.0149,1.0655
Esophagus,WYZ-XM-5,-2.490551,0.0512,0.0561,0.0543,0.0533,0.0566,0.5505,0.9093,1.0055,1.067
Head & Neck,WYZ-XM-5,-2.362394,0.0426,0.0443,0.0432,0.0417,0.0455,0.6006,0.8765,0.9427,1.0374
Head & Neck,WYZ-XM-5,-3.677231,0.0598,0.0586,0.06,0.061,0.0623,0.0746,1.1473,1.0987,1.051
Head & Neck,WYZ-XM-5,-4.348419,0.0796,0.0776,0.0803,0.0743,0.0762,0.078,0.069,0.375,0.8302
Head & Neck,WYZ-XM-5,-9.464555,0.0716,0.0698,0.0709,0.0742,0.0714,0.0765,0.0849,0.1973,0.8109
Head & Neck,WYZ-XM-5,-1.38898,0.0506,0.0497,0.0515,0.057,0.2029,0.9664,0.9573,1.0056,1.025
Head & Neck,WYZ-XM-5,-1.359613,0.0492,0.0477,0.0495,0.0528,0.7046,1.0111,0.9608,0.9625,1.0043
Head & Neck,WYZ-XM-5,-3.467185,0.0544,0.0548,0.0598,0.0543,0.054,0.2057,0.7105,0.6616,0.989
Head & Neck,WYZ-XM-5,-5.455658,0.1181,0.1213,0.1221,0.1223,0.1241,0.1595,1.2943,1.2035,1.0728
Head & Neck,WYZ-XM-5,-2.292848,0.0448,0.0497,0.0469,0.0461,0.0468,0.4487,0.8927,1.0779,1.0019
Head & Neck,WYZ-XM-5,-0.926181,0.0484,0.049,0.05,0.1544,0.8941,1.0247,1.0287,1.0365,1.0368
